# Train Loss,Valid MSE,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test MSE,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
7.713139651001411912e-03,8.149470183222243605e-03,8.153369243056603211e-03,5.210134773423775317e-02,5.887386442213028204e+00,4.715440833335939053e-02,4.700026245612650561e-02,1.973040169623924839e-02,1.113036724796984345e+00,8.149470183222243605e-03
7.124028362747420774e-03,4.636712960847135662e-03,4.639175692606358273e-03,8.445126037707133271e-02,8.451428042601037305e+00,4.412357300374546848e-02,4.396077413650888860e-02,9.278635702826359966e-02,8.184841732130735181e+00,4.636712960847135662e-03
4.400860344213334413e-03,2.889999887436657880e-03,2.891244916200106513e-03,1.019631503026774133e-01,9.429601286588876974e+00,4.446985855657324682e-02,4.430052346064297653e-02,1.216427988670372440e-01,1.044124122882203665e+01,2.889999887436657880e-03
2.894379464123630896e-03,1.922772384464873892e-03,1.923673072994000911e-03,1.233024730745710673e-01,1.072076137176918564e+01,4.511947370918255318e-02,4.494496719947636137e-02,1.646629252643672103e-01,1.276377149233303498e+01,1.922772384464873892e-03
1.945270982531005803e-03,1.463863073680956445e-03,1.464736214635180408e-03,1.354334865840061408e-01,1.178022612144559389e+01,4.603567285726499481e-02,4.585661211434548939e-02,1.715495181423547788e-01,1.297716596959799062e+01,1.463863073680956445e-03
1.436088248815491509e-03,1.275009758948784586e-03,1.276064129920279544e-03,1.453013448671326424e-01,1.239046795738249784e+01,4.685528994081561427e-02,4.667260182650504602e-02,1.749473296874002326e-01,1.313799716687935870e+01,1.275009758948784586e-03
1.188448406847260677e-03,1.226311950645934262e-03,1.227452985046084384e-03,1.396332857189402366e-01,1.169580364209105028e+01,4.740734397222971797e-02,4.722256696720397023e-02,1.774128073962722429e-01,1.299804255091294181e+01,1.226311950645934262e-03
1.077272982737222757e-03,1.169167519875040839e-03,1.170061081843311659e-03,1.394867417876184679e-01,1.153963508287415607e+01,4.780707500822437700e-02,4.762065961620293164e-02,2.050277082992172650e-01,1.457251953023660462e+01,1.169167519875040839e-03
1.016788300942007882e-03,1.159833387877341228e-03,1.160709858589051421e-03,1.332825480380861460e-01,1.139298216299357591e+01,4.813793628846927547e-02,4.795017435256955507e-02,2.154324563992676689e-01,1.533516658637381624e+01,1.159833387877341228e-03
9.716571631601099998e-04,1.174665753506050174e-03,1.175458372385627210e-03,1.423048341945319650e-01,1.186399612371315015e+01,4.851445026365639596e-02,4.832528375629554368e-02,2.146469239830648690e-01,1.541872764464642387e+01,0.000000000000000000e+00
9.485216184483316300e-04,1.134534904387749996e-03,1.135656018874412095e-03,1.517310260622214413e-01,1.277533133554243250e+01,4.832424219296891504e-02,4.813571460786209011e-02,2.113515254379420283e-01,1.538979197402659338e+01,1.134534904387749996e-03
9.186714142994420029e-04,1.082387279316280367e-03,1.083333738216418459e-03,1.581704591350349687e-01,1.282131843588285847e+01,4.859793171107784637e-02,4.840813763986005769e-02,2.112006589670099854e-01,1.523609010169457179e+01,1.082387279316280367e-03
8.892387053724922809e-04,1.142155355727669710e-03,1.143321937977179311e-03,1.508925758120391869e-01,1.263168992238206556e+01,4.870691999325426486e-02,4.851695923695366341e-02,2.159580277321739017e-01,1.554109642961702775e+01,0.000000000000000000e+00
8.703843547103114501e-04,1.097763997908230739e-03,1.098886366412849371e-03,1.742724321313744718e-01,1.391566677216906101e+01,4.891776729164888649e-02,4.872679822769807739e-02,2.238763903596411586e-01,1.591829513180709910e+01,0.000000000000000000e+00
8.567946724918116099e-04,1.094985586874711730e-03,1.096110426016350418e-03,1.795146641249624753e-01,1.413511091147665866e+01,4.895594981948468011e-02,4.876474911305764964e-02,2.255934055761609491e-01,1.612528308638138697e+01,0.000000000000000000e+00
8.414708204617590576e-04,1.047977212389620714e-03,1.049020181224228666e-03,1.751358598825551172e-01,1.375965596214518882e+01,4.934621833936303492e-02,4.915342163722916796e-02,2.279681901378263487e-01,1.629626788180030417e+01,1.047977212389620714e-03
8.303048422757011411e-04,1.022488831141446248e-03,1.023440312812064906e-03,1.793117329818780248e-01,1.415511435575899668e+01,4.940924496770117413e-02,4.921605268133575489e-02,2.297753186771370471e-01,1.640842521765443962e+01,1.022488831141446248e-03
8.146481832614455802e-04,1.023940948745428016e-03,1.024943727858378551e-03,1.771154465376815756e-01,1.418798975719255395e+01,4.943287177298724688e-02,4.923961506184309361e-02,2.297864322318942665e-01,1.644089436710055452e+01,0.000000000000000000e+00
7.989466098382414600e-04,1.100262935829555847e-03,1.101423345762340879e-03,1.678250660436408637e-01,1.356859104291652329e+01,4.950148635445641987e-02,4.930824019542909276e-02,2.311353209339349346e-01,1.649363500840263441e+01,0.000000000000000000e+00
7.872128035740659285e-04,9.952847594543107797e-04,9.962364865698217133e-04,1.638723316577788969e-01,1.317067799242795445e+01,4.977970212680299378e-02,4.958497185689280523e-02,2.385971987654819937e-01,1.686401464144000784e+01,9.952847594543107797e-04
7.897298114295017973e-04,1.039719759160467926e-03,1.040443797888334016e-03,1.719802352406875623e-01,1.374145274577313103e+01,5.010038200286433263e-02,4.990459383523925679e-02,2.442249510638505039e-01,1.695124232843227219e+01,0.000000000000000000e+00
7.697481219981861878e-04,1.015767241210957560e-03,1.016828978680149077e-03,1.713711428550856453e-01,1.384256262533017434e+01,4.990050783206488594e-02,4.970534384267675382e-02,2.467918262530877926e-01,1.700157296104589477e+01,0.000000000000000000e+00
7.635512128740145395e-04,9.983053122783849039e-04,9.990667129896428633e-04,1.650247676712968958e-01,1.331135483193793334e+01,5.019584284797664470e-02,4.999952357724805202e-02,2.447658525018245046e-01,1.703441047860542312e+01,0.000000000000000000e+00
7.498468170756785768e-04,9.723547590842899265e-04,9.731526473674371319e-04,1.703487852770547706e-01,1.355025655418285169e+01,5.024155972595228253e-02,5.004497936150598819e-02,2.419745509763457370e-01,1.685740671126404777e+01,9.723547590842899265e-04
7.600419517559126167e-04,9.577190183566897542e-04,9.585690901280550201e-04,1.748333666569724942e-01,1.414011420114547946e+01,5.025233454311675563e-02,5.005564400622627280e-02,2.419745509763457370e-01,1.685740671126404777e+01,9.577190183566897542e-04
7.347807604286998081e-04,1.047946667226607852e-03,1.048553005011470434e-03,1.710973634641186902e-01,1.376333737003733404e+01,5.060485062063652117e-02,5.040721395520727371e-02,2.473175726038320810e-01,1.708862427627900615e+01,0.000000000000000000e+00
7.261741441439841871e-04,9.443529739251567499e-04,9.452637077505553253e-04,1.749145960569359060e-01,1.419849504428566433e+01,5.037462068643059482e-02,5.017738488661151186e-02,2.411994291439164551e-01,1.681160827731946483e+01,9.443529739251567499e-04
7.193224962278730239e-04,1.085258259586731203e-03,1.085809551443971512e-03,1.703501231785392311e-01,1.374182064880733378e+01,5.095031682585114685e-02,5.075148804057388191e-02,2.430478026915785794e-01,1.684340695588616654e+01,0.000000000000000000e+00
7.169237920374763560e-04,1.038663067101013113e-03,1.039800832470729516e-03,1.812804133484662295e-01,1.450132089856197126e+01,5.048467991797485344e-02,5.028732516323548146e-02,2.418175443303735572e-01,1.683354064874583855e+01,0.000000000000000000e+00
7.003692616830874736e-04,9.210812873096161204e-04,9.219507724232313276e-04,1.748263831205134067e-01,1.413719453566591255e+01,5.069765789072788048e-02,5.049907497021775132e-02,2.457301976938620625e-01,1.688570651336340234e+01,9.210812873096161204e-04
7.104490732672275044e-04,9.201399654903937367e-04,9.210299765454711901e-04,1.831195266540521782e-01,1.485438630761927925e+01,5.070074439750697770e-02,5.050215293697680324e-02,2.412639777771581617e-01,1.684010485809994861e+01,9.201399654903937367e-04
6.948494908701445408e-04,9.142960374851503893e-04,9.152061507933208695e-04,1.852093529054169019e-01,1.481454055255744606e+01,5.079537449097103891e-02,5.059637360614488433e-02,2.439457861380908144e-01,1.691017724497942254e+01,9.142960374851503893e-04
6.843291982303081585e-04,9.059977150865874572e-04,9.068670557480861634e-04,1.777715606716551988e-01,1.439185792719945312e+01,5.085715777665585080e-02,5.065790228548351648e-02,2.439457861380908144e-01,1.691017724497942254e+01,9.059977150865874572e-04
6.765285253347061000e-04,9.135321857424319545e-04,9.142729974182826685e-04,1.831968096832375659e-01,1.459286863740999252e+01,5.105077552489783316e-02,5.085083565564054581e-02,2.452393863416754693e-01,1.705813438881887123e+01,0.000000000000000000e+00
6.889673566818485181e-04,9.381316500828631175e-04,9.391420665076628902e-04,1.861460187106423747e-01,1.480782744754105806e+01,5.098580968451297407e-02,5.078610822644176459e-02,2.461411503023291925e-01,1.694503070058999583e+01,0.000000000000000000e+00
6.698776923974250229e-04,8.863339306636979073e-04,8.871814971802209453e-04,1.744262853333794772e-01,1.422395332995802164e+01,5.116992288002378958e-02,5.096936784650420160e-02,2.458656319641561450e-01,1.683582143805688247e+01,8.863339306636979073e-04
6.716598633268385269e-04,8.912155163771887274e-04,8.919855950174215972e-04,1.923187411163745086e-01,1.516524055751506239e+01,5.119350602673975598e-02,5.099290995832977264e-02,2.508055786322209713e-01,1.718434206995880231e+01,0.000000000000000000e+00
6.564649424461171815e-04,8.861635302771843923e-04,8.870693098114951301e-04,1.900718387633443807e-01,1.509673207823652774e+01,5.117530305661115858e-02,5.097470615834595598e-02,2.513417476112351778e-01,1.693361107009695843e+01,8.861635302771843923e-04
6.602016660992299354e-04,9.940961183654882863e-04,9.947008510588284998e-04,1.805178243177722741e-01,1.479668739225598983e+01,5.135954714346802757e-02,5.115871590065072111e-02,2.600943096248897191e-01,1.733859316579764709e+01,0.000000000000000000e+00
6.556003129244732238e-04,9.671939535312250964e-04,9.678089564844359399e-04,1.873153626303984687e-01,1.535104608666733839e+01,5.137611593916532882e-02,5.117513705682402020e-02,2.535040376618614144e-01,1.692438800673699006e+01,0.000000000000000000e+00
6.459242184141755034e-04,9.637809721642129736e-04,9.648425821208696717e-04,1.877500175580674446e-01,1.513520187273388728e+01,5.126129165313890457e-02,5.106061806090959193e-02,2.515498812498623282e-01,1.692616807058220729e+01,0.000000000000000000e+00
6.413667777335231839e-04,8.932088671754750270e-04,8.941731047833691073e-04,1.882124346342251842e-01,1.517099702369887382e+01,5.124829684883721453e-02,5.104744292378039089e-02,2.550028248720521695e-01,1.727104204607894644e+01,0.000000000000000000e+00
6.416067823746298944e-04,8.817030386472609130e-04,8.823877815664684385e-04,1.910879212072427169e-01,1.563760909048141912e+01,5.131893591043629882e-02,5.111790192273130140e-02,2.581851302479148957e-01,1.730542616121238098e+01,8.817030386472609130e-04
6.357806842061108910e-04,8.579331815348094966e-04,8.588175210893057116e-04,1.956192168663261344e-01,1.574802018835907802e+01,5.125253472242893155e-02,5.105156545808533369e-02,2.572482464604829433e-01,1.733066618576413020e+01,8.579331815348094966e-04
6.390971700656859636e-04,8.532025702094422253e-04,8.539887177779285346e-04,2.045094155296608707e-01,1.596821725153131410e+01,5.128881786331015991e-02,5.108770621379595672e-02,2.615117466597874918e-01,1.760962333151837811e+01,8.532025702094422253e-04
6.326777264551678315e-04,8.451282960272186919e-04,8.458992337666790826e-04,1.984587302907651063e-01,1.587872468249406666e+01,5.130238953328451756e-02,5.110123740868004194e-02,2.556250840692667059e-01,1.724507241364335641e+01,8.451282960272186919e-04
6.349365352279880224e-04,9.237712500700061410e-04,9.243988719195641050e-04,2.061673170953370882e-01,1.629768480631173588e+01,5.142596140658612508e-02,5.122466184291592228e-02,2.618346735746868714e-01,1.756163533771177754e+01,0.000000000000000000e+00
6.146948433215197608e-04,8.879816144592098939e-04,8.889441750433786822e-04,2.017586376258501402e-01,1.603836188989225775e+01,5.129816948646435948e-02,5.109712753267330043e-02,2.498974208791281126e-01,1.689033170434413478e+01,0.000000000000000000e+00
6.209506480135655463e-04,9.866705812681983261e-04,9.877663654093123483e-04,2.057099927301217768e-01,1.618185125559102744e+01,5.137670025652380651e-02,5.117567436385163371e-02,2.541955414285457238e-01,1.719283386709867045e+01,0.000000000000000000e+00
6.111505875177247662e-04,8.748243134404118208e-04,8.757684277925930922e-04,1.930855939727198212e-01,1.561026238399790600e+01,5.131005723373709138e-02,5.110892312668580129e-02,2.506841127025682958e-01,1.701799185835989192e+01,0.000000000000000000e+00
